StudentID,FirstName,LastName,MiddleInitial,GID,NoteID
1,Kyutee,Sbgupj,S,G01,
2,Bdmvoe,Zzxitb,J,G02,
3,Slvwxj,Cczznn,D,G03,
4,Rrgxhh,Hengax,C,G04,
5,Yjnkzu,Xvzcoz,,G05,
6,Uqrgve,Kmyggq,M,G06,
7,Mmmpas,Jlwxtf,,G07,
8,Olrdml,Nysdwk,,G08,
9,Iaxezu,Ribqwu,,G09,
10,Oawesp,Igaabe,S,G10,
11,Fvxbwn,Rpiuyj,,G11,
12,Tbzdxf,Wxqkca,P,G12,
13,Zmrxkc,Wfnqvn,M,G13,
14,Ekkuwy,Rtyhqt,M,G14,
15,Eaejxb,Btyqel,A,G15,
16,Usxrny,Dprrum,B,G16,
17,Yhfybm,Spgbna,R,G17,
18,Syzihi,Snnowj,,G18,
19,Ltfils,Gzrxgd,E,G19,
20,Lipypt,Oyrbee,,G20,
